name,idn,address,tvc,district,state,pincode,landline,website,h_email,h_name,h_designation,h_type,h_joining,h_te,h_re,h_ie,h_landline,h_fax,h_email
IMS COLLEGE OF ENGINEERING,1-807370181,"118 - B, TAKSHILA COLONY, MEERUT, MEERUT, MEERUT, Uttar Pradesh, 250004",BHAGWANPUR,MEERUT,Uttar Pradesh,244235,121 - 2773709,www.imsengineering.org/,imsjpnagar@gmail.com,MANISH KUMAR SRIVASTAVA,CHAIRMAN,Adhoc/Contract,27-Jan-12,11 years,1 years,2 years,121 - 4058628,1212773709,drdineshgzb@yahoo.com
IMS COLLEGE OF POLYTECHNIC,1-524513341,"118 - B, TAKSHILA COLONY, MEERUT, MEERUT, MEERUT, Uttar Pradesh, 250004",KHUNGAWALI,MEERUT,Uttar Pradesh,244235,121 - 2773709,www.imsjpnagar.in,imsjpnagar@gmail.com,SANYAM AGARWAL,CHAIRMAN,Adhoc/Contract,05-Jan-12,11 years,1 years,6 years,131 -,1212773709,drdineshgzb@yahoo.com
IMS ENGINEERING COLLEGE,1-4903321,"IMS ENGINEERING COLLAGE, NH-24,ADHYATMIK NAGAR, GHAZIABAD, GHAZIABAD, GHAZIABAD, Uttar Pradesh, 201009",GHAZIABAD,GHAZIABAD,Uttar Pradesh,201009,120 - 3013800,www.imsec.ac.in,director@imsec.ac.in,DR. SRABAN MUKHERJEE,DIRECTOR,Regular,01-Aug-15,8 years,0 years,29 years,120 - 3013800,2769235,director@imsec.ac.in
IMS INSTITUTE OF TECHNOLOGY ROORKEE,1-758379701,"131 SOLANI PURAM, HARIDWAR, ROORKEE, Uttarakhand, 247667",ROORKEE,HARIDWAR,Uttarakhand,247667,1332 - 275275,www.imsitr.com,ranaji_rke@yahoo.com,PUNDIR HIMANSHU,SECRETARY,,,0 years,0 years,0 years,-,272553,mmalik131@hotmail.com
IMS J.P. NAGAR,1-847659861,"118 - B TAKSHILA COLONY, MEERUT, MEERUT, MEERUT, Uttar Pradesh, 250004",BHAGWANPUR KHADAR,MEERUT,Uttar Pradesh,244235,121 - 2773709,www.imsjpnagar.com,imsjpnagar@gmail.com,PUNIT GOEL,CHAIRMAN,Regular,15-Jul-11,12 years,2 years,1 years,131 -,1212773709,drdineshgzb@yahoo.com
IMS POLYTECHNIC,1-510108341,"118 - B, TAKSHILA COLONY, MEERUT, MEERUT, MEERUT, Uttar Pradesh, 250004",KHUNGAWALI,MEERUT,Uttar Pradesh,244235,121 - 2773709,www.imspolytechnic.com,imsjpnagar@gmail.com,DINESH NISHAD,CHAIRMAN,Regular,05-Feb-10,10 years,3 years,1 years,551 -,1212773709,drdineshgzb@yahoo.com
"IMT PHARMACY COLLEGE, PURI",1-4288601,"AT- BARABATI NUA SAHI  PO- PURI, PURI, TOWN, Orissa, 752001",PURI,PURI,Orissa,752002,6752 - 251575,www.imtpuri.com,info@imtpuri.com,SANKAR PRASAD CHAKRABARTI,CHAIRMAN,Regular,26-Jun-12,26 years,3 years,5 years,33 - 25534107,251575,info@imtpuri.com
INDERAPRASTHA POLYTECHNIC COLLEGE,1-454818971,"VPO AHMEDPUR RASINA TESHIL PUNDRI DISTT KAITHAL, KAITHAL, AHMEDPUR RASINA, Haryana, 136042",AHMEDPUR,KAITHAL,Haryana,136042,1746 - 277600,www.ippcpundri.com,ippcollege@gmail.com,RAVI KANT SHARMA,COMPUTER LECT.,Regular,01-Jun-12,6 years,2 years,1 years,1746 - 277600,277600,ippcollege@gmail.com
INDERPRASTHA ENGINEERING COLLEGE,1-5276325,"INDERPRASTHA ENGINEERING COLLEGE,  63 SITE 4, SURYA NAGAR FLYOVER ROAD, SAHIBABAD, GHAZIABAD, GHAZIABAD, GHAZIABAD, Uttar Pradesh, 201010",GHAZIABAD,GHAZIABAD,Uttar Pradesh,201010,120 - 4535000,www.ipec.org.in,director@ipec.org.in,SEEMA SEEMA,OFFICIATING DIRECTOR,Acting,24-Nov-14,11 years,11 years,4 years,120 - 4535026,4535059,director@ipec.org.in
INDHIRA SHIVA RAO POLYTECHNIC,1-451863931,"H.NO. 2-231, BADANIDIYOOR, POST, UDUPI, UDUPI, Karnataka, 576115",UDUPI,UDUPI,Karnataka,576102,820 - 2530232,www.isrpolytechnic.com,isrpsksp@yahoo.com,KUNJIBETTU PRAKASH SHENOY,SECRETARY,Regular,04-Jul-11,4 years,0 years,26 years,820 - 2530232,8202530232,rrpaniyoor48@yahoo.co.in
INDIAN ACADEMY SCHOOL OF MANAGEMENT STUDIES,1-10889270,"INDIAN ACADEMY EDUCATION TRUST, HENNUR CROSS, HENNUR MAIN ROAD, BANGALORE, BANGALORE URBAN, BANGALORE, Karnataka, 560043",BANGALORE,BANGALORE URBAN,Karnataka,560043,80 - 22022943,www.iasms.in,director@iasms.in,NAGARAJ SHENOY,CHAIRMAN,Regular,25-Jun-14,18 years,8 years,6 years,80 - 22022943,25445605,somuthummala@gmail.com
"INDIAN EDUCATION SOCIETY, MANAGEMENT COLLEGE AND RESEARCH CENTRE",1-30016691,"MAYUR , VARAD VINAYAK LANE , VIRAR (W.), THANE, VIRAR, VASAI,, Maharashtra, 401303",MUMBAI,MUMBAI CITY,Maharashtra,400050,22 - 61378484,www.ies.edu/management,info@ies.edu,DINESH HARSOLEKAR,JR. OFFICER.,Regular,21-Feb-05,30 years,2 years,4 years,22 - 61378321,61378444,pratiksham108@gmail.com
INDIAN INSTITUTE OF CARPET TECHNOLOGY,1-462578871,"CHAURI ROAD BHADOHI, SANT RAVIDAS NAGAR, BHADOHI, Uttar Pradesh, 221401",BHADOHI,SANT RAVIDAS NAGAR,Uttar Pradesh,221401,5414 - 228404,www.iict.ac.in,iict@iict.ac.in,KAMAL KANTI GOSWAMI,PROFESSOR,Regular,25-May-00,20 years,4 years,17 years,5414 - 228404,225509,sanatpal2001@rediffmail.com
INDIAN INSTITUTE OF COST AND MANAGEMENT STUDIES & RESEARCH (INDSEARCH),1-13327111,"11, SUHAS, ANANTKRIPA SOC., NEAR VANAZ CORNER, PAUD ROAD, PUNE, PUNE, Maharashtra, 411038",PUNE,PUNE,Maharashtra,411021,20 - 22917000,www.indsearch.org,search@indsearch.org,NACHIKET VECHALEKAR,ASST. PROFESSOR,Incharge,11-Oct-94,39 years,12 years,0 years,20 -,25433241,sandeepgokhale@indsearch.org
INDIAN INSTITUTE OF CROP PROCESSING TECHNOLOGY,1-2197135511,"DIRECTOR  INDIAN INSTITUTE OF CROP PROCESSING TECHNOLOGY, GOVERNMENT OF INDIA, PUDUKOTTAI ROAD, THANJAVUR - 613005, TAMIL NADU, THANJAVUR, THANJAVUR, Tamil Nadu, 613005",THANJAVUR,THANJAVUR,Tamil Nadu,613005,4362 - 226676,www.iicpt.edu.in,director@iicpt.edu.in,LOGANATHAN M,DIRECTOR,Regular,30-Jun-77,7 years,16 years,0 years,4362 - 226676,227971,director@iicpt.edu.in
INDIAN INSTITUTE OF FINANCE,1-498041272,"45A, KNOWLEDGE PARK III, GAUTHAM BUDDHA NAGAR, GREATER NOIDA, Uttar Pradesh, 201308",NOIDA,GAUTAM BUDDHA NAGAR,Uttar Pradesh,201305,120 - 6471004,www.iif.edu,jda@iif.edu,JAI DEV AGARWAL,PROFESSOR,Regular,19-Jun-87,45 years,40 years,30 years,120 - 6471004,1202323687,sa@financeindia.org
INDIAN INSTITUTE OF FOREST MANAGEMENT,1-500380598,"POST BOX 357  NEHRU NAGAR, BHOPAL, BHOPAL, Madhya Pradesh, 462003",BHOPAL,BHOPAL,Madhya Pradesh,462003,755 - 2775716,www.iifm.ac.in,director@iifm.ac.in,GIRIDHAR KINHAL,DIRECTOR,Regular,15-Jul-13,5 years,15 years,33 years,755 - 2763490,2772878,director@iifm.ac.in
INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,1-475274703,"INDIAN INSTITITUTE OF HANDLOOM TECHNOLOGY,  MADWA PLANT ROAD, VILLAGE - LACHHANPUR,  POST - BASANTPUR, VIA - CAHMPA,  DISTRICT-JANJGIR CHAMPA  (C.G.), JANJGIR-CHAMPA, CHAMPA, Chhattisgarh, 495671",CHAMPA,RAIPUR,Chhattisgarh,495671,7819 - 206556,www.cgiiht.in,rajamanickam131@gmail.com,HOMAN LAL NARANG,PRINCIPAL IN CHARGE,Incharge,26-Sep-12,0 years,3 years,26 years,7819 - 206556,206330,iihtchampa@gmail.com
INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,1-786487441,"TYPE-V, IIHT STAFF QUARTER,IIHT CAMPUS, NAYAPURA, CHOKHA ROAD,, JODHPUR, JODHPUR, Rajasthan, 342001",JODHPUR,NEW DELHI,Delhi,342001,291 - 2757115,www.handlooms.nic.in,iiht_jodhpur@rediffmail.com,VIRENDER BHARDWAJ,DIRECTOR (INSTITUTE),Regular,26-Jun-02,35 years,0 years,3 years,291 - 2754685,2757481,virender.bhardwaj56@gmail.com
INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,1-748077511,"DIRECTOR   INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,  SALEM, SALEM, SALEM, Tamil Nadu, 636001",SALEM,SALEM,Tamil Nadu,636001,427 - 2296943,www.iiht.ac.in,iiht.tnslm@nic.in,THENNARASU P,DIRECTOR,Regular,01-Jan-13,16 years,8 years,2 years,427 - 2295628,2295254,pa_thennarasu@yahoo.com
INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY - KANNUR,1-1549983557,"SHIRIN  CHELERI P.O.  KANNUR, KANNUR, KANNUR, Kerala, 670604",THOTTADA,KANNUR,Kerala,670007,497 - 2835390,www.iihtkannur.ac.in,info@iihtkannur.ac.in,CHELERI ABDUL KAREEM,EXECUTIVE DIRECTOR,Regular,25-Jul-11,0 years,0 years,19 years,497 - 2835390,2835390,cheleri2007@gmail.com
INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY GUWAHATI,1-494670781,"NH-37, JAWAHAR NAGAR, KHANAPARA, GUWAHATI-781022, KAMRUP METROPOLITAN, GUWAHATI, Assam, 781022",GUWAHATI,KAMRUP METROPOLITAN,Assam,781022,361 - 2301670,www.handlooms.nic.in,opkotnala@gmail.com,OM PRAKASH KOTNALA,ASSISTANT DIRECTOR I/C,Regular,01-Sep-13,22 years,0 years,10 years,361 - 2301670,2301669,opkotnala@gmail.com
"INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, VARANASI",1-581901631,"DIRECTOR (I)  I.I.H.T., VARANASI, CHOWKAGHAT, Uttar Pradesh, 221002",VARANASI,CENTRAL DELHI,Delhi,221002,542 - 2203833,www.handlooms.nic.in,iihtvns@gmail.com,R.G. PANNEERSELVAM,DIRECTOR (I),Regular,07-Jan-13,20 years,15 years,8 years,542 - 2208329,2203833,rgpanneer61@gmail.com
INDIAN INSTITUTE OF PLANTATION MANAGEMENT,1-5154731,"JNANBHARATHI CAMPUS, P.O. MALATHALLI, BANGALORE URBAN, BANGALORE, Karnataka, 560056",BANGALORE,BANGALORE URBAN,Karnataka,560056,80 - 23211716,www.iipmb.edu.in,directoriipm@vsnl.net,DHANAKUMAR VENGESANAM GURUSWAMY RAJA,DIRECTOR,Regular,28-Jul-97,25 years,22 years,33 years,80 - 23212773,23212775,directoriipm@vsnl.net
INDIAN INSTITUTE OF POLYTECHNIC,1-515993691,"2/111, HOUSING BOARD, BALOTRA, BARMER, BALOTRA, Rajasthan, 344022",BALOTRA,BARMER,Rajasthan,344022,2988 - 227153,www.iipbalotra.org,iip.asadabalotra10@gmail.com,SAMPAT PRAJAPAT,SECRETARY,Regular,01-Jul-10,5 years,0 years,0 years,2988 - 227153,227153,ashokgoyaluti@gmail.com
INDIAN INSTITUTE OF SCIENCE AND INFORMATION TECHNOLOGY(IISIT),1-22705881,"PRASNAGARBHA, PLOT NO. S-3/68,69 & 83, SECTOR-'A', ZONE-'B' MANCHESWAR INDUSTRIAL ESTATE, BHUBANESWAR - 751010, ORISSA., KHORDHA, BHUBANESWAR, Orissa, 751010",BHUBANESWAR,KHORDHA,Orissa,751010,674 - 2580771,www.iisit.in,iisit@iisit.in,ATREYEE PANDA,DIRECTOR,Regular,23-Sep-93,0 years,0 years,14 years,674 - 2580771,2582001,iisit@iisit.in
INDIAN INSTITUTE OF SOCIAL WELFARE AND BUSINESS MANAGEMENT,1-6200491,"MANAGEMENT HOUSE, COLLEGE SQUARE WEST, KOLKATA-700073, KOLKATA, KOLKATA, West Bengal, 700073",KOLKATA,KOLKATA,West Bengal,700073,33 - 22418694,www.iiswbm.edu,registrar@iiswbm.edu,AMITAVA SARKAR,DIRECTOR,Regular,01-Oct-13,37 years,37 years,3 years,33 - 22415793,22413975,amitavasarkar@hotmail.com
INDIAN NAVAL ACADEMY,1-349964881,"INDIAN NAVAL ACADEMY, KANNUR, EZHIMALA, Kerala, 670310",EZHIMALA,ERNAKULAM,Kerala,670310,4985 - 224149,www.indiannavy.nic.in/ina,principal-navy@nic.in,VENUGOPAL KS,REGISTRAR,Regular,31-Dec-14,25 years,16 years,0 years,4985 - 224149,224169,r_ravi62@hotmail.com
INDIAN NAVAL SHIP HAMLA,1-812129264,"TRAINING CAPTAIN  INS HAMLA, MUMBAI SUBURBAN, MUMBAI, Maharashtra, 400064",MUMBAI,MUMBAI CITY,Maharashtra,400064,22 - 29992400,www.indiannavy.nic.in,tcms_hamla@yahoo.co.in,VINAY KUMAR,"CAPTAIN, TRAINING CAPTAIN",Regular,23-Dec-15,0 years,0 years,0 years,22 - 29992401,28445390,tcms_hamla@yahoo.co.in
INDIC INSTITUTE OF DESIGN AND RESEARCH,1-7221073,"INDIC HEIGHTS  MUKTAPUR  KHURDA  752055, KHORDHA, KHURDA, Orissa, 752055",BHUBANESWAR,KHORDHA,Orissa,751024,6755 - 6545689,www.indicindia.com,mail@indicindia.com,TRILOCHAN SWAIN,DEPUTY DIRECTOR,Regular,02-Jan-12,15 years,8 years,0 years,-,6755224224,prag.mohanty@indicindia.com
INDIRA COLLEGE OF PHARMACY,1-6923342,"INDIRA NIWAS, VISHNUPURI, NANDED, NANDED, NANDED, Maharashtra, 431606",NANDED,NANDED,Maharashtra,431606,2462 - 229185,www.sahayog.ac.in,sssicop@gmail.com,S Janardhanan,SECRETARY,Regular,01-Apr-15,27 years,0 years,0 years,2462 - 229185,229185,smhambarde1@gmail.com
INDIRA GANDHI COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,1-6253181,"2070-1ST STREET, VASANTHAM COLONY, ANNA NAGAR, CHENNAI-40, CHENNAI, CHENNAI, Tamil Nadu, 600040",CHENNAI,CHENNAI,Tamil Nadu,603101,44 - 27493419,www.igcet.com,igicet@gmail.com,Dr.Paul Rodrigues J,CHAIRMAN,Regular,07-Jun-15,17 years,14 years,11 years,44 - 27493416,26531612,acttrust@yahoo.com
"INDIRA GANDHI ENGINEERING COLLEGE, SAGAR",1-36086671,"INDIRA GANDHI ENGINEERING COLLEGE,  JABALPUR ROAD  BAHERIYA SAGAR (M.P.), SAGAR, SAGAR, Madhya Pradesh, 470021",SAGAR,SAGAR,Madhya Pradesh,470004,7582 - 263844,www.igecsagar.ac.in,dr.principalgec@rediffmail.com,D.R. DUBEY,PRINCIPAL,Incharge,25-Sep-08,30 years,22 years,7 years,7582 - 263864,263984,dr.principalgec@rediffmail.com
INDIRA GANDHI GOVT.POLYTECHNIC COLLEGE CHHINDWARA,1-480406231,"INDIRA GANDHI GOVT.POLYTECHNIC, COLLEGE, CHHINDWARA, CHHINDWARA, CHHINDWARA, Madhya Pradesh, 480002",CHHINDWARA,CHHINDWARA,Madhya Pradesh,480002,7162 - 244943,www.govpolychhindwara.org,polychhindwara@gmail.com,AALOK KUMAR YADAV,PRINCIPAL,Incharge,17-Sep-15,23 years,5 years,1 years,7162 - 243110,244943,aalok108@gmail.com
INDIRA GANDHI INSTITUTE OF CO-OPERATIVE MANAGEMENT,1-20757871,"INDIRA GANDHI INSTITUTE OF COOPERATIVE MANAGEMENT,BLOCK B, SECTOR 18, RAJAJIPURAM., LUCKNOW, LUCKNOW, Uttar Pradesh, 226017",LUCKNOW,LUCKNOW,Uttar Pradesh,226017,522 - 5222661820,www.icmlko.up.nic.in,arastogi_06@rediffmail.com,AJAI RASTOGI MR.,DIRECTOR,Regular,27-Jul-92,24 years,0 years,0 years,522 - 2661820,2662357,arrastogi_06@rediffmail.com
INDIRA GANDHI INSTITUTE OF ENGINEERING & TECHNOLOGY FOR WOMEN,1-6181978,"KOTTAKUNNEL HOUSE, ADOOPARAMBU,  MUVATTUPUZHA P.O, ERNAKULAM, MUVATTUPUZHA, Kerala, 686673",KOTHAMANGALAM,ERNAKULAM,Kerala,686691,485 - 2827454,www.iiet.org.in,weng@igmt.org,PAUL K MATHEW,DIRECTOR,Regular,14-Dec-15,42 years,4 years,0 years,485 - 2827740,4852824942,director@igmt.org
INDIRA GANDHI INSTITUTE OF PHARMACEUTICAL SCIENCES,1-10385884,"N4/208,  IRC VILLAGE,  BHUBANESWAR, KHORDHA, BHUBANESWAR, Orissa, 751015",BHUBANESWAR,KHORDHA,Orissa,751015,674 - 2556582,www.igips.edu.in,igips_bbsr@rediffmail.com,LAKSHMI NARAYAN UNA,CHAIRMAN,Regular,09-Apr-08,27 years,2 years,0 years,674 - 2551209,2551502,gcnayak2007@rediffmail.com
INDIRA GANDHI INSTITUTE OF TECHNOLOGY SARANG,1-412736121,"AT/PO:IGIT SARANG, DHENKANAL, SARANG, Orissa, 759146",SARANG,DHENKANAL,Orissa,759146,6768 - 267086,www.igitsarang.ac.in,principal_igit@rediffmail.com,BIKASH CHANDRA PANDA,DIRECTOR,Regular,17-Feb-92,24 years,7 years,0 years,6768 - 267086,267128,bikashapanda@yahoo.com
INDIRA GANDHI POLYTECHNIC,1-2077598701,"KOTTAKUNNEL (H),  MUVATTUPUZHA, ERNAKULAM, MUVATTUPUZHA, Kerala, 686661",KOTHAMANGALAM,ERNAKULAM,Kerala,686691,485 - 2824871,www.igmt.org,polytechnic@igmt.org,REVIKUMAR M.S.,GENERAL SECRETARY,Regular,02-Jun-14,28 years,0 years,0 years,485 - 3390000,2824942,shiyas@igmt.org
INDIRA GANDHI POLYTECHNIC BELWANDI(SUGAR),1-445064011,"A/P:MADHEWADGAON,   TAL:SHRIGONDA, DIST:AHMEDNAGAR,STATE:MAHARASHTRA, AHMEDNAGAR, SHRIGONDA, Maharashtra, 413726",BELWANDI(SUGAR),AHMEDNAGAR,Maharashtra,413702,2487 - 250237,www.igpbelwandi.org,igp_principal@yahoo.co.in,SANJAYKUMAR GORE,PRINCIPAL,Regular,01-Sep-97,19 years,0 years,2 years,2487 - 250237,250237,igp_principal@yahoo.co.in
"INDIRA GANDHI POLYTECHNIC COLLEGE, MAHE",1-488164671,"MEMBER SECRETARY  PIPMATE  LAWSPET, PUDUCHERRY, PUDUCHERRY, Puducherry, 605008",MAHE,PUDUCHERRY,Puducherry,670672,490 - 2335777,www.dhte.puducherry.gov.in/,dhte.pon@nic.in,K.FRANCIS K.FRANCIS,DIRECTOR OF HIGHER AND TECHNICAL EDUCATION/MEM SEC,Regular,01-Jun-15,26 years,0 years,0 years,490 - 2335777,2254590,pipmatepdy@gmail.com
INDIRA GLOBAL BUSINESS SCHOOL,1-5387201,"A-105,VANAZ SOCIETY, PUNE, PUNE, Maharashtra, 411038",PUNE,PUNE,Maharashtra,410506,2114 - 9272212311,www.indiragbs.edu.in,globeteam@indiragbs.edu.in,Virendra Tatake,DIRECTOR,Regular,12-Feb-16,8 years,0 years,11 years,2114 - 9272212310,9272212311,director@indiragbs.edu.in
INDIRA INSTITUTE OF DIPLOMA ENGINEERING,1-478133211,"AT/P:JYOTIBACHIWADI TAL-BARSHI DIST-SOLAPUR, SOLAPUR, JYOTIBACHIWADI, Maharashtra, 413406",SASURE-VAIRAG,SOLAPUR,Maharashtra,413402,2184 - 240700,www.indirapolytechnic.com,ssctiide@gmail.com,VYANKATESH DHENGALE-PATIL,VICE-PRESIDENT,Regular,,0 years,0 years,0 years,2184 - 240777,240700,ssctiide@gmail.com
INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,1-10706530,"NO.1, VGR GARDERN, VGR NAGAR, PANDUR POST  THIRUVALLUR DISTRICT, THIRUVALLUR, THIRUVALLUR, Tamil Nadu, 631203",THIRUVALLUR,THIRUVALLUR,Tamil Nadu,631203,44 - 27650440,www.indiraeducational.org,engg.principal@indiraeducational.org,DR. N. VELVIZHI NANDAGOPAL,PRINCIPAL,Regular,24-Aug-15,20 years,0 years,0 years,44 - 27650440,27650364,engg.principal@indiraeducational.org
INDIRA INSTITUTE OF MANAGEMENT,1-4257891,"R.NO.1/3  SUBHASHREE WOODS,NR. DATTA MANDIR PIMPLE SAUDAGAR, PUNE, PUNE, Maharashtra, 411027",PUNE,PUNE,Maharashtra,411033,20 - 66739868,www.indiraiimp.edu.in,pmali@indiraedu.com,PANDIT MALI,DIRECTOR,Regular,15-Apr-04,9 years,0 years,9 years,20 - 66739868,22934259,pmali@indiraedu.com
INDIRA INSTITUTE OF MANAGEMENT SCIENCES,1-6407676,"SHATRI NAGAR, NANDED, NANDED, NANDED, Maharashtra, 431605",NANDED,NANDED,Maharashtra,431606,2462 - 229184,www.sahayog.ac.in,sunil.hambarde9@gmail.com,RAJENDRA MR. DONGARE,DIRECTOR,Regular,03-Jul-13,5 years,5 years,10 years,2462 - 229184,2462229185,rajendra0708@gmail.com
INDIRA INSTITUTE OF MANAGEMENT(MCA),1-6020851,"SARATHYA, SR.NO-85/5B, OPP. TO PUNE-MUMBAI EXPRESSWAY, TATHAWADE, PUNE-33, PUNE, PUNE, Maharashtra, 411033",PUNE,PUNE,Maharashtra,411033,20 - 66759481,www.indiraiimpmca.edu.in,rupa_hiremath@indiraedu.com,RUPA HIREMATH,DIRECTOR,Regular,30-Oct-07,16 years,5 years,1 years,20 - 66759481,66759457,rupa_hiremath@indiraedu.com
INDIRA INSTITUTE OF PHARMACY,1-413071371,"AT POST-SADAVALI,  TAL-SANGAMESHWAR,  DIST-RATNAGIRI, RATNAGIRI, DEVRUKH, Maharashtra, 415804",DEVRUKH,RATNAGIRI,Maharashtra,415804,2354 - 261799,www.iip.ind.in,info@iip.ind.in,BASAVARAJ HATAPAKKI,OFFICE-IN-CHARGE,Regular,01-Oct-11,29 years,13 years,0 years,2354 - 261799,261499,mayuresh.7@rediffmail.com
INDIRA INSTITUTE OF TECHNOLOGY (POLYTECHNIC),1-462119051,"'SAI KRUPA' MANIK NAGAR, NANDED, NANDED, NANDED, Maharashtra, 431602",NANDED,NANDED,Maharashtra,431606,2462 - 229155,www.sahayog.ac.in,indirapoly@gmail.com,TUKARAM INGOLE,PRINCIPAL,Regular,21-Jun-11,10 years,0 years,5 years,2462 - 229155,229185,tbingole@yahoo.com
INDIRA INSTITUTE OF TECHNOLOGY AND SCIENCES,1-11346262,"MARKAPUR( M)  PRAKASAM DT.  A.P. 523316, PRAKASAM, MARKAPUR, Andhra Pradesh, 523320",MARKAPUR,PRAKASAM,Andhra Pradesh,523320,8596 - 7799971200,www.vhreducationalsociety.com,iitsmarkapur@gmail.com,NAGA SRINIVASU SIRASANAGONDLA,PRINCIPAL,Regular,01-Sep-14,14 years,8 years,0 years,8596 - 224487,224487,iitsmarkapur@gmail.com
INDIRA PRIYADARSHINI COLLEGE OF MANAGEMENT,1-481227503,"INDIRA PRIYADARSHINI COLLEGE OF MANAGEMENT, KHANUGAON, VIP ROAD, BHOPAL, BHOPAL, Madhya Pradesh, 462032",BHOPAL,BHOPAL,Madhya Pradesh,462032,755 - 2548181,www.ipcmbhopal.org.in,ipcmbhopal@rediffmail.com,SANJAY DIXIT,DIRECTOR,Regular,01-Aug-05,27 years,13 years,5 years,755 - 2548181,2738738,ipcmbhopal@rediffmail.com
INDIRA SCHOOL OF BUSINESS STUDIES,1-4232491,"12 MAHINDRA COLONY,121 NAGAR ROAD, PUNE, PUNE, Maharashtra, 411006",TATHAWADE,PUNE,Maharashtra,411033,20 - 66759463,www.indiraisbs.ac.in,laxman.misal@indiraisbs.ac.in,RENU BHARGAVA,DIRECTOR,Regular,01-Jun-06,16 years,13 years,11 years,20 - 66759411,22932217,renub@indiraedu.com
INDIRAPURAM INSTITUTE OF HIGHER STUDIES,1-1506736841,"VISHISHT SHIKSHA BHOOKHAND ,NYAY KHAND -1 ,INDIRAPURAM GHAZIABAD, GHAZIABAD, GHAZIABAD, Uttar Pradesh, 201012",GHAZIABAD,SOUTH DELHI,Delhi,201012,11 - 1206500334,www.theiihs.com,iihsindirapuram@gmail.com,SWETA GOEL,DEPUTY DIRECTOR,Adhoc/Contract,01-Feb-16,10 years,0 years,1 years,120 - 6500334,1126452525,director@theiihs.com
INDO AMERICAN INSTITUTIONS - TECHNICAL CAMPUS,1-434059261,"INDO AMERICAN VALLEY, SANKARAM VILLAGE, BATLAPUDI POST, ANAKAPALLE MANDAL, VISHAKHAPATNAM, VISHAKHAPATNAM, Andhra Pradesh, 531001",VISHAKHAPATNAM,VISHAKHAPATNAM,Andhra Pradesh,531001,891 - 2858008,www.iaitc.in,venky_pujaris@yahoo.com,SRINIVASA MURTI SISTLA,CHAIRMAN & FOUNDER TRUSTEE,Regular,26-Sep-13,3 years,6 years,27 years,891 - 2858008,2858046,venky_pujaris@yahoo.com
INDO DANISH TOOL ROOM,1-465761041,"INDO DANISH TOOL ROOM, JAMSHEDPUR., SERAIKELA-KHARSAWAN, JAMSHEDPUR, Jharkhand, 832108",JAMSHEDPUR,SERAIKELA-KHARSAWAN,Jharkhand,832108,657 - 2201261,www.idtr.gov.in,reach@idtrjamshedpur.com,SARVJEET SINGH KOHLI,SR MANAGER TRAINING,Regular,27-Jul-98,13 years,0 years,36 years,657 - 2372175,2202723,sghoshidtr@yahoo.co.in
INDO GERMAN TOOL ROOM,1-448224341,"INDO GERMAN TOOL ROOM, PLOT NO. 5003, PHASE - IV, GIDC VATVA, AHMEDABAD, AHMEDABAD, Gujarat, 382445",AHMEDABAD,AHMEDABAD,Gujarat,382445,79 - 25840964,www.igtrahd.com,training@igtrahd.com,VISHAL KUMAR,MANAGER - TRAINING,Regular,16-Apr-96,18 years,0 years,10 years,79 - 25840966,25841962,training@igtrahd.com
INDO GERMAN TOOL ROOM,1-497619091,"P-31 MIDC, INDUSTRIAL AREA, CHIKKALTHANA, AURANGABAD, AURANGABAD, Maharashtra, 431006",AURANGABAD,AURANGABAD,Maharashtra,431006,240 - 2480578,www.igtr-aur.org,gm@igtr-aur.org,HEMANT KAPSE,MANAGER,Regular,17-Dec-93,20 years,0 years,11 years,240 - 2480578,2484028,awsekar.gs@igtr-aur.org
"INDO GLOBAL COLLEGE OF ARCHITECTURE,ABHIPUR",1-9890951,"244 SECTOR 16  CHANDIGARH, CHANDIGARH, CITY, Chandigarh, 160015",VILLAGE,MOHALI,Punjab,140109,160 - 2664070,www.igef.net,contact@igef.net,Sumit Kaur,CEO,Regular,19-Aug-15,3 years,6 years,35 years,160 - 2664070,1722546015,manavsingla@rediffmail.com
INDO-AMERICAN COLLEGE,1-529862811,"NO.34, G.U NAIDU STREET., KANCHIPURAM, UTTIRAMERUR, Tamil Nadu, 603406",CHEYYAR,CHENNAI,Tamil Nadu,604407,4182 - 222006,www.iac-cheyyar.com,iaccyr@gmail.com,ILANGOVAN KANNAN,VICE-PRINCIPAL,Regular,16-Jun-14,31 years,15 years,0 years,4182 - 220670,4182220670,uva_sambath@yahoo.co.in
